M,vorname,geschlecht,position
1,Elisaveta,w,1
1,Elizabeth,w,1
1,Ellaria,w,1
1,Ellen,w,1
1,Elona,w,1
1,Elva,w,1
1,Elya,w,1
1,Ema,w,1
1,Emelie,w,1
1,Emely,w,1
1,Emi,w,1
1,Emili,w,1
1,Emilia-Laureen,w,1
1,Emilie,w,1
1,Emmie,w,1
1,Emmy,w,1
1,Emylia,w,1
1,Ena,w,1
1,Enie,w,1
1,Enni,w,1
1,Enola,w,1
1,Eowyn,w,1
1,Erija,w,1
1,Erika,w,1
1,Esila,w,1
1,Eslem,w,1
1,Esma,w,1
1,Esmeet,w,1
1,Esra,w,1
1,Estrella-Hermine,w,1
1,Eva-Dorothee,w,1
1,Evana,w,1
1,Evangeline,w,1
1,Evelin,w,1
1,Evelina,w,1
1,Eveline,w,1
1,Evi,w,1
1,Evrata,w,1
1,Ewa,w,1
1,Fabienne,w,1
1,Falak,w,1
1,Falka,w,1
1,Fatima,w,1
1,Fatma,w,1
1,Fatou,w,1
1,Fatouma-Bintou,w,1
1,Faye-Elizabeth,w,1
1,Feleg,w,1
1,Feli,w,1
1,Felicia,w,1
1,Felicitas,w,1
1,Fernanda,w,1
1,Fia,w,1
1,Fibi,w,1
1,Fiella,w,1
1,Fienna,w,1
1,Fina,w,1
1,Fine,w,1
1,Finya,w,1
1,Fiona-Luisa,w,1
1,Flavia,w,1
1,Flore,w,1
1,Floreana,w,1
1,Florence,w,1
1,Florentina,w,1
1,Florentine-Ella,w,1
1,Freyda,w,1
1,Fria,w,1
1,Fridtjof,w,1
1,Fritzy,w,1
1,Fyona,w,1
1,Gabriella,w,1
1,Gemma,w,1
1,Georgina,w,1
1,Geta,w,1
1,Gia,w,1
1,Hafsa,w,1
1,Haily,w,1
1,Hana,w,1
1,Hania,w,1
1,Hanifa,w,1
1,Hannah-Charlotte,w,1
1,Hate,w,1
1,Hava,w,1
1,Hayat,w,1
1,Hayriya,w,1
1,Heli,w,1
1,Helia,w,1
1,Hellen,w,1
1,Hendrika,w,1
1,Henni,w,1
1,Henrike,w,1
1,Hirija,w,1
1,Hiyam,w,1
1,Hope,w,1
1,Hoàng,w,1
1,Hải,w,1
1,Ikranur,w,1
1,Ilaria,w,1
1,Ilia,w,1
1,Ilse,w,1
1,Ilva,w,1
1,Ilvie,w,1
1,Imani,w,1
1,Inga,w,1
1,Iniyal,w,1
1,Io,w,1
1,Irina,w,1
1,Irini,w,1
1,Isalie,w,1
1,Iseult,w,1
1,Isis,w,1
1,Israa,w,1
1,Iva,w,1
1,Ivie,w,1
1,Ivy,w,1
1,Jaina,w,1
1,Jamelia,w,1
1,Jane,w,1
1,Janelle,w,1
1,Jannika,w,1
1,Jelke,w,1
1,Jemima,w,1
1,Jenifrey,w,1
1,Jessica,w,1
1,Jingxi,w,1
1,Johanne,w,1
1,Jolande,w,1
1,Jolanthe,w,1
1,Joliè,w,1
1,Jolle,w,1
1,Josefine,w,1
1,Joud,w,1
1,Jovienne,w,1
1,Joyce,w,1
1,Juli,w,1
1,Julienne,w,1
1,Juliette,w,1
1,June,w,1
1,Juno,w,1
1,Jury,w,1
1,Juventina,w,1
1,Kaja,w,1
1,Kalea,w,1
1,Kamaya,w,1
1,Kamelia,w,1
1,Kami,w,1
1,Kamilla,w,1
1,Karlie,w,1
1,Karolyna,w,1
1,Kati,w,1
1,Katie,w,1
1,Katinka,w,1
1,Kayla-Lou,w,1
1,Kaylie,w,1
1,Kenza,w,1
1,Keziah,w,1
1,Khaula,w,1
1,Kholod,w,1
1,Kiana-Ilona,w,1
1,Kiki,w,1
1,Kimea,w,1
1,Kornelia,w,1
1,Kylie,w,1
1,Käte,w,1
1,Lacy,w,1
1,Laia,w,1
1,Lamea-Diana,w,1
1,Lamis,w,1
1,Lani,w,1
1,Lavinia,w,1
1,Layla,w,1
1,Lefke,w,1
1,Leia,w,1
1,Lelav,w,1
1,Lenja,w,1
1,Lenka,w,1
1,Lennja,w,1
1,Leona,w,1
1,Leonara,w,1
1,Leonarda,w,1
1,Leticia,w,1
1,Letizia,w,1
1,Letti,w,1
1,Leya,w,1
1,Leyona,w,1
1,Lia-Joline,w,1
1,Lianna,w,1
1,Liara-Malaika,w,1
1,Lidia,w,1
1,Liesbeth,w,1
1,Lieselotte,w,1
1,Lilas,w,1
1,Lilo,w,1
1,Lilyana,w,1
1,Linda-Janine,w,1
1,Linh,w,1
1,Linja,w,1
1,Liriana,w,1
1,Lisa,w,1
1,Lisbeth,w,1
1,Liselotte,w,1
1,Livana,w,1
1,Liz,w,1
1,Loki,w,1
1,Lorena,w,1
1,Lorraine,w,1
1,Lottie,w,1
1,Louane,w,1
1,Lubomyra,w,1
1,Luca,w,1
1,Luciana,w,1
1,Lucía,w,1
1,Lui,w,1
1,Luisa-Fatima,w,1
1,Luiza,w,1
1,Lujza,w,1
1,Lulia,w,1
1,Luna-Aaliyha,w,1
1,Luna-Marie,w,1
1,Luzia,w,1
1,Lya,w,1
1,Lyanna,w,1
1,Lydia,w,1
1,Lynnea,w,1
1,Léonie,w,1
1,Mabel,w,1
1,Madeleine,w,1
1,Madita,w,1
1,Madjo,w,1
1,Maeva,w,1
1,Maeve,w,1
1,Magdalene,w,1
1,Maha,w,1
1,Mahalia,w,1
1,Mahra,w,1
1,Mahsa,w,1
1,Mai,w,1
1,Maia,w,1
1,Maike,w,1
1,Maili,w,1
1,Mailin,w,1
1,Maily,w,1
1,Makka,w,1
1,Malak,w,1
1,Maleo,w,1
1,Malia-Jolie,w,1
1,Malia-June,w,1
1,Malia-Lou,w,1
1,Maliah,w,1
1,Malika,w,1
1,Malu,w,1
1,Malva,w,1
1,Manar,w,1
1,Manika,w,1
1,Mara-Luice,w,1
1,Marcelina,w,1
1,Marceline,w,1
1,Margo,w,1
1,Marie-Lucienne,w,1
1,Marie-Luise,w,1
1,Marina,w,1
1,Marit,w,1
1,Marleen,w,1
1,Marlie,w,1
1,Martha-Ophelia,w,1
1,Marwa,w,1
1,Massah,w,1
1,Matea,w,1
1,Mavi,w,1
1,Mavis,w,1
1,Maxi,w,1
1,Maximiliane,w,1
1,Maya-Elise,w,1
1,Mayada,w,1
1,Mayan,w,1
1,Mayla,w,1
1,Maylah,w,1
1,Mayra,w,1
1,Maëli,w,1
1,Meelay,w,1
1,Mehtab,w,1
1,Mel,w,1
1,Melania,w,1
1,Mele,w,1
1,Melody-Sophie,w,1
1,Melona,w,1
1,Meryem,w,1
1,Meta,w,1
1,Meva,w,1
1,Mey,w,1
1,Mia-Eileen,w,1
1,Mia-Magdalena,w,1
1,Mia-Silvia,w,1
1,Mieko,w,1
1,Mika,w,1
1,Mila-Sophie,w,1
1,Milaine,w,1
1,Mileen,w,1
1,Miley,w,1
1,Milkāh,w,1
1,Milli,w,1
1,Milou,w,1
1,Milu,w,1
1,Mimi,w,1
1,Mindy,w,1
1,Minha,w,1
1,Minu,w,1
1,Mirabell,w,1
1,Miral,w,1
1,Miranda,w,1
1,Miroslava,w,1
1,Misk,w,1
1,Moana,w,1
1,Mohala,w,1
1,Mohra,w,1
1,Molie,w,1
1,Monami,w,1
1,Monika,w,1
1,Morea,w,1
1,Myla,w,1
1,Myrian,w,1
1,Mía,w,1
1,Nadea,w,1
1,Naela,w,1
1,Nahla,w,1
1,Nailah,w,1
1,Nala,w,1
1,Nana,w,1
1,Nasteeho,w,1
1,Natalia,w,1
1,Natalija,w,1
1,Naya,w,1
1,Nazret,w,1
1,Naïla,w,1
1,Nea,w,1
1,Nefeli,w,1
1,Nefes,w,1
1,Nejla,w,1
1,Neni,w,1
1,Neva,w,1
1,Nevval,w,1
1,Ngoc,w,1
1,Nica,w,1
1,Nicole,w,1
1,Nika,w,1
1,Nike,w,1
1,Nikola,w,1
1,Nikole,w,1
1,Nil,w,1
1,Njanteh,w,1
1,Noa,w,1
1,Nola,w,1
1,Norah,w,1
1,Nour,w,1
1,Nourhan,w,1
1,Nova,w,1
1,Novie,w,1
1,Noémie,w,1
1,Nura,w,1
1,Oluwakayikunmi,w,1
1,Olympia,w,1
1,Onari,w,1
1,Oona,w,1
1,Orla,w,1
1,Oslin,w,1
1,Paige,w,1
1,Panah,w,1
1,Paolina,w,1
1,Patricia,w,1
1,Penelope,w,1
1,Phuong,w,1
1,Pippa,w,1
1,Polly,w,1
1,Precious,w,1
1,Prisha,w,1
1,Qingyao,w,1
1,Rafaella,w,1
1,Ragna,w,1
1,Raha,w,1
1,Rahma,w,1
1,Raja,w,1
1,Rajana,w,1
1,Raphaela,w,1
1,Rava,w,1
1,Rayhan,w,1
1,Rebeka,w,1
1,Reem,w,1
1,Rehnaaz,w,1
1,Retal,w,1
1,Reyyan,w,1
1,Rhenyra,w,1
1,Rhia,w,1
1,Rikki,w,1
1,Riley,w,1
1,Rima,w,1
1,Rimas,w,1
1,Rina,w,1
1,Rital,w,1
1,Roaa,w,1
1,Rojeen,w,1
1,Roleza,w,1
1,Rolina,w,1
1,Romav,w,1
1,Romina,w,1
1,Rona,w,1
1,Rosa-Jelka,w,1
1,Rosalia,w,1
1,Rosalinde,w,1
1,Rosemarie,w,1
1,Rosie,w,1
1,Rosina,w,1
1,Roya,w,1
1,Rozalia,w,1
1,Ruslien,w,1
1,Ruthie,w,1
1,Sabawit,w,1
1,Sabeth,w,1
1,Sadaf,w,1
1,Sadie,w,1
1,Safija,w,1
1,Safiya,w,1
1,Sali,w,1
1,Sama,w,1
1,Samara,w,1
1,Sana,w,1
1,Sanni,w,1
1,Sara,w,1
1,Saskia,w,1
1,Savneet,w,1
1,Schams,w,1
1,Seleen,w,1
1,Selene,w,1
1,Selia,w,1
1,Selihom,w,1
1,Selina,w,1
1,Semen,w,1
1,Senta,w,1
1,Serafina,w,1
1,Shahd,w,1
1,Sham,w,1
1,Shirin,w,1
1,Sibel-Fatima,w,1
1,Sidra,w,1
1,Silviya,w,1
1,Sina,w,1
1,Siora,w,1
1,Sira,w,1
1,Siwa,w,1
1,Slavena,w,1
1,Sofia-Delia,w,1
1,Sole,w,1
1,Soliana,w,1
1,Solomia,w,1
1,Somaya,w,1
1,Sonja,w,1
1,Sora,w,1
1,Soraya,w,1
1,Stacy,w,1
1,Stephanie,w,1
1,Stina,w,1
1,Sumaya,w,1
1,Sumeyya,w,1
1,Sunny,w,1
1,Svea-Swanwit,w,1
1,Svenja,w,1
1,Taija,w,1
1,Taj,w,1
1,Taleah,w,1
1,Taleen,w,1
1,Talja,w,1
1,Talvi,w,1
1,Tamira,w,1
1,Tasnim,w,1
1,Tebid,w,1
1,Telma,w,1
1,Tenda,w,1
1,Teodora,w,1
1,Thalea,w,1
1,Thea-Amalia,w,1
1,Theda,w,1
1,Theodora,w,1
1,Thilda,w,1
1,Thyra,w,1
1,Thúy-Vy,w,1
1,Tia,w,1
1,Tiffany,w,1
1,Tilia,w,1
1,Tillie,w,1
1,Tilly,w,1
1,Timar,w,1
1,Timeea,w,1
1,Tinka,w,1
1,Toleen,w,1
1,Tollin,w,1
1,Toni,w,1
1,Torvi,w,1
1,Toulin,w,1
1,Tova,w,1
1,Trâm,w,1
1,Tswahan,w,1
1,Tuqa,w,1
1,Tường,w,1
1,Uma,w,1
1,Umaira,w,1
1,Una,w,1
1,Urania,w,1
1,Valea,w,1
1,Vanessa,w,1
1,Vanja,w,1
1,Varvara,w,1
1,Vaya,w,1
1,Vera,w,1
1,Verle,w,1
1,Veronika,w,1
1,Victória,w,1
1,Viola,w,1
1,Violeta,w,1
1,Violetta,w,1
1,Vira,w,1
1,Vivian-Sophie,w,1
1,Vivienne,w,1
1,Vivijana,w,1
1,Vlada,w,1
1,Wateen,w,1
1,Watin,w,1
1,Wilda,w,1
1,Winnie,w,1
1,Yaas,w,1
1,Yael,w,1
1,Yaprak,w,1
1,Ylvie,w,1
1,Yola,w,1
1,Yolanda,w,1
1,Yolandi,w,1
1,Yorkabel,w,1
1,Yossra,w,1
1,Yumi,w,1
1,Yuna-Summer,w,1
1,Yusra,w,1
1,Yustyna,w,1
1,Yuzuki,w,1
1,Yvonne,w,1
1,Yên,w,1
1,Zafirah,w,1
1,Zahra,w,1
1,Zamira,w,1
1,Zaneta-Abieyuwa,w,1
1,Zayna,w,1
1,Zeina,w,1
1,Zelda,w,1
1,Zeyna,w,1
1,Zina,w,1
1,Ziva,w,1
1,Zoe-Marie,w,1
1,Zoya,w,1
1,Zozan,w,1
1,Zoè-Malia,w,1
1,Zoé,w,1
1,Émilie,w,1
1,Aariz,m,1
1,Aayun,m,1
1,Abbas,m,1
1,Abdoul,m,1
1,Abdul,m,1
1,Abdulkarim,m,1
1,Abdullah,m,1
1,Abdulrahman,m,1
1,Abed,m,1
1,Achiko,m,1
1,Adebola,m,1
1,Adonis,m,1
1,Adriaan,m,1
1,Adriano,m,1
1,Adrijanas,m,1
1,Aggelos,m,1
1,Ahed,m,1
1,Ajer,m,1
1,Akop,m,1
1,Akram,m,1
1,Alamin,m,1
1,Alamir,m,1
1,Alaz,m,1
1,Albrecht,m,1
1,Aleo,m,1
1,Alex-Timofiy,m,1
1,Alexandros,m,1
1,Alexandru,m,1
1,Alf,m,1
1,Alfons,m,1
1,Aljosha,m,1
1,Alrik,m,1
1,Alvi,m,1
1,Amadeus,m,1
1,Amadou,m,1
1,Aman,m,1
1,Amaru,m,1
1,Amen,m,1
1,Amier,m,1
1,Amos,m,1
1,Amrit,m,1
1,Anakin,m,1
1,Andre,m,1
1,Andrei-Ștefan,m,1
1,Andrii,m,1
1,Angelos,m,1
1,Anh,m,1
1,Anil,m,1
1,Anis,m,1
1,Anji,m,1
1,Anjo,m,1
1,Ansgar,m,1
1,Antoni,m,1
1,Antonio,m,1
1,Anuar,m,1
1,Arad,m,1
1,Araf,m,1
1,Aras-Nurettin,m,1
1,Ares,m,1
1,Ariel,m,1
1,Arin,m,1
1,Arion,m,1
1,Aris-Arian,m,1
1,Arkadiusz,m,1
1,Arkan,m,1
1,Arman,m,1
1,Arno,m,1
1,Arnold,m,1
1,Arsen,m,1
1,Artemij,m,1
1,Artjom,m,1
1,Artorius,m,1
1,Arvin,m,1
1,Arwin,m,1
1,Astarion,m,1
1,Avalón,m,1
1,Avedis,m,1
1,Avtandil,m,1
1,Awab,m,1
1,Awad,m,1
1,Awraam,m,1
1,Axel,m,1
1,Ayas,m,1
1,Ayaz,m,1
1,Ayhem,m,1
1,Azad,m,1
1,Aziel,m,1
1,Babak,m,1
1,Bao,m,1
1,Bashir-Ud-din,m,1
1,Bastian,m,1
1,Belal,m,1
1,Beli,m,1
1,Bellingham,m,1
1,Ben-Luca,m,1
1,Bence,m,1
1,Bender,m,1
1,Bene,m,1
1,Benedict,m,1
1,Benji,m,1
1,Benne,m,1
1,Bennett,m,1
1,Bennit,m,1
1,Berat,m,1
1,Binjamin,m,1
1,Bodo,m,1
1,Bosse,m,1
1,Brian,m,1
1,Buron,m,1
1,Caius,m,1
1,Camilo,m,1
1,Cari,m,1
1,Carlos,m,1
1,Casey-Emilio,m,1
1,Cato,m,1
1,Cedric,m,1
1,Cem,m,1
1,Chimere,m,1
1,Collin,m,1
1,Conrad,m,1
1,Cooper,m,1
1,Danesh,m,1
1,Danilo,m,1
1,Daniéle,m,1
1,Danny,m,1
1,Danyil,m,1
1,Daris,m,1
1,Daryl,m,1
1,Dave,m,1
1,Deithan,m,1
1,Demid,m,1
1,Deo,m,1
1,Devin,m,1
1,Devran,m,1
1,Dian,m,1
1,Dinh,m,1
1,Djani,m,1
1,Djenan,m,1
1,Domenico,m,1
1,Dominion,m,1
1,Dorian,m,1
1,Doyun,m,1
1,Džibril,m,1
1,Ean,m,1
1,Eddi,m,1
1,Ede,m,1
1,Eden,m,1
1,Edmont,m,1
1,Eduard,m,1
1,Edward,m,1
1,Edwin,m,1
1,Ektoras,m,1
1,Elay,m,1
1,Elhan,m,1
1,Eli,m,1
1,Eliah,m,1
1,Eliano,m,1
1,Elijas,m,1
1,Elin,m,1
1,Eliyas-Tamino,m,1
1,Elián,m,1
1,Elliot,m,1
1,Ellis,m,1
1,Elmar,m,1
1,Elyan,m,1
1,Elyano,m,1
1,Emad,m,1
1,Emil-Maxim,m,1
1,Emilio-Damian,m,1
1,Emilios,m,1
1,Emir,m,1
1,Emmett,m,1
1,Emyl,m,1
1,Ennio,m,1
1,Enrico,m,1
1,Enyo,m,1
1,Enzio,m,1
1,Eris,m,1
1,Etienne,m,1
1,Eusebius,m,1
1,Ewann,m,1
1,Eyas,m,1
1,Ezio,m,1
1,Fadi,m,1
1,Fahad,m,1
1,Fahd,m,1
1,Fahed,m,1
1,Faisal,m,1
1,Fanol,m,1
1,Fares,m,1
1,Farhan,m,1
1,Faris,m,1
1,Fedor,m,1
1,Felician,m,1
1,Fengnian,m,1
1,Ferenc,m,1
1,Ferry,m,1
1,Feyazz,m,1
1,Fidel,m,1
1,Filian,m,1
1,Filippo,m,1
1,Fin,m,1
1,Finnen,m,1
1,Finnick,m,1
1,Finnley,m,1
1,Flint,m,1
1,Floki,m,1
1,Florentin,m,1
1,Floris,m,1
1,Foka-Michay,m,1
1,Forest,m,1
1,Fouaz,m,1
1,Franckyliam,m,1
1,Fred-Otto,m,1
1,Frede,m,1
1,Frederic,m,1
1,Fredrik,m,1
1,Frido,m,1
1,Fridtjof,m,1
1,Friedemann,m,1
1,Friedl,m,1
1,Friedolin,m,1
1,Gabrieli,m,1
1,Gawad,m,1
1,George,m,1
1,Ghaith,m,1
1,Ghayath,m,1
1,Gheorghe,m,1
1,Ghulam,m,1
1,Gian,m,1
1,Gideon,m,1
1,Giuseppe,m,1
1,Glauk,m,1
1,Gustaw,m,1
1,Hadi,m,1
1,Hagen,m,1
1,Halil,m,1
1,Hamdi,m,1
1,Han,m,1
1,Hanish,m,1
1,Hardy,m,1
1,Haron,m,1
1,Harry,m,1
1,Harrys,m,1
1,Haru,m,1
1,Harun,m,1
1,Hasem,m,1
1,Hayden,m,1
1,Hayo,m,1
1,Heinz,m,1
1,Helge,m,1
1,Henning,m,1
1,Henno,m,1
1,Hermes,m,1
1,Hiro,m,1
1,Hosen,m,1
1,Houd,m,1
1,Hoàng,m,1
1,Hussam,m,1
1,Hussein,m,1
1,Héli,m,1
1,Hải,m,1
1,Iair,m,1
1,Ignacy,m,1
1,Ilay-Milano,m,1
1,Ilja,m,1
1,Iman,m,1
1,Immanuel,m,1
1,Isak,m,1
1,Isidor,m,1
1,Issam,m,1
1,Ivo,m,1
1,Jackson,m,1
1,Jad,m,1
1,Jaden,m,1
1,Jake,m,1
1,Jalen,m,1
1,Jamal,m,1
1,Jaman,m,1
1,Jamie,m,1
1,Jamil,m,1
1,Janik,m,1
1,Janis,m,1
1,Janne,m,1
1,Jannick,m,1
1,Jannis-Rainer,m,1
1,Janno,m,1
1,Janosh,m,1
1,Jarle,m,1
1,Jascha,m,1
1,Jasha,m,1
1,Jasko,m,1
1,Jassin,m,1
1,Jawad,m,1
1,Jayden,m,1
1,Jayson,m,1
1,Jelle,m,1
1,Jeppe,m,1
1,Jeremiah,m,1
1,Jeremias,m,1
1,Jeromé,m,1
1,Jesse,m,1
1,Jeyden,m,1
1,Jod,m,1
1,Jonael,m,1
1,Jonne,m,1
1,Joost,m,1
1,Jordi,m,1
1,Jori,m,1
1,Jorik,m,1
1,Joscha,m,1
1,Joschka,m,1
1,Joschua,m,1
1,Joseph,m,1
1,Josias,m,1
1,Joud,m,1
1,Jules,m,1
1,Julien,m,1
1,Juma,m,1
1,Junes,m,1
1,Juno,m,1
1,Jusuf,m,1
1,János,m,1
1,Jöran,m,1
1,Kabhier,m,1
1,Kadence,m,1
1,Kadosh,m,1
1,Kai,m,1
1,Kaihan,m,1
1,Kajus,m,1
1,Kaleb,m,1
1,Kaleo,m,1
1,Kamal,m,1
1,Kamer-Kuitim,m,1
1,Kami,m,1
1,Kareem,m,1
1,Karel,m,1
1,Karl-Dietmar,m,1
1,Karl-Theodor,m,1
1,Kasimir,m,1
1,Kaspar,m,1
1,Kayden,m,1
1,Keanu,m,1
1,Kevin,m,1
1,Keyden,m,1
1,Khaled,m,1
1,Khattab,m,1
1,Kijan,m,1
1,Kilian-Daylen,m,1
1,Kim,m,1
1,Kio,m,1
1,Kirill,m,1
1,Klim,m,1
1,Knut,m,1
1,Konrad,m,1
1,Krishna,m,1
1,Kristian,m,1
1,Kuba,m,1
1,Kusai,m,1
1,Lai,m,1
1,Laron,m,1
1,Lars,m,1
1,Lauri,m,1
1,Lawand,m,1
1,Layth,m,1
1,Laël,m,1
1,Le,m,1
1,Lehel,m,1
1,Lejf,m,1
1,Lejs,m,1
1,Lenni,m,1
1,Lennie,m,1
1,Lennox-Joel,m,1
1,Lennox-Marvin,m,1
1,Leno,m,1
1,Leo-Odin,m,1
1,Leonhard,m,1
1,Leonidas,m,1
1,Levian,m,1
1,Levimatteo,m,1
1,Levio,m,1
1,Levon,m,1
1,Levy,m,1
1,León,m,1
1,Lieselotte,m,1
1,Lima,m,1
1,Limon,m,1
1,Lios,m,1
1,Lius,m,1
1,Liviu,m,1
1,Liyan-Emile,m,1
1,Lián-Naveen,m,1
1,Lo,m,1
1,Loar,m,1
1,Loian,m,1
1,Loke,m,1
1,Lono,m,1
1,Lorenz,m,1
1,Lorenzo,m,1
1,Louis-Elias,m,1
1,Lovis,m,1
1,Lozan,m,1
1,Luca-Aramis,m,1
1,Lucius,m,1
1,Luk,m,1
1,Luo,m,1
1,Luzio,m,1
1,Lyell,m,1
1,Lynus,m,1
1,Lyon,m,1
1,Lysander,m,1
1,László,m,1
1,Léon-Noel,m,1
1,Léonard,m,1
1,Maher,m,1
1,Mahir,m,1
1,Maksim,m,1
1,Mal,m,1
1,Malek,m,1
1,Malio,m,1
1,Mamoun,m,1
1,Marceau,m,1
1,Marcel,m,1
1,Mardin,m,1
1,Marenius,m,1
1,Marian,m,1
1,Marik,m,1
1,Marinus,m,1
1,Marius,m,1
1,Markian,m,1
1,Markiian,m,1
1,Marli,m,1
1,Marten,m,1
1,Marvel,m,1
1,Marvin,m,1
1,Mate,m,1
1,Matei,m,1
1,Mathéo,m,1
1,Mattes,m,1
1,Mattheo-Valentin,m,1
1,Matthies,m,1
1,Matthis,m,1
1,Mattia,m,1
1,Mattwey,m,1
1,Mauro,m,1
1,Maxym,m,1
1,Mayar,m,1
1,Mayas,m,1
1,Mazin,m,1
1,Meletis,m,1
1,Melio,m,1
1,Melvin,m,1
1,Merlin,m,1
1,Mete,m,1
1,Micah,m,1
1,Mick,m,1
1,Mike,m,1
1,Mikhail,m,1
1,Miko,m,1
1,Mikołaj,m,1
1,Milan-Iair,m,1
1,Miles,m,1
1,Milian,m,1
1,Minas,m,1
1,Minh,m,1
1,Mirko,m,1
1,Miroslav,m,1
1,Moayad,m,1
1,Moe,m,1
1,Mohamad,m,1
1,Mohmmad,m,1
1,Moisés,m,1
1,Mordechai,m,1
1,Moses,m,1
1,Mousa,m,1
1,Moussa,m,1
1,Mozzie,m,1
1,Muhamed,m,1
1,Murad,m,1
1,Murat,m,1
1,Muse,m,1
1,Mustafa,m,1
1,Mylo,m,1
1,Nadim,m,1
1,Nam,m,1
1,Naol,m,1
1,Natan,m,1
1,Navid,m,1
1,Naïl,m,1
1,Naïm,m,1
1,Ndashi,m,1
1,Nedim,m,1
1,Nehemia,m,1
1,Nelio-John,m,1
1,Nelio-Pasquale,m,1
1,Nelu,m,1
1,Nestor,m,1
1,Nhật,m,1
1,Nick,m,1
1,Nicolai,m,1
1,Nicolás,m,1
1,Nikas,m,1
1,Nikola,m,1
1,Nilo-Emilio,m,1
1,Nimo,m,1
1,Nimrod,m,1
1,Nis,m,1
1,Noa,m,1
1,Noah-Joel,m,1
1,Noah-Luan,m,1
1,Noah-Thomas,m,1
1,Noalin,m,1
1,Noam,m,1
1,Nojus,m,1
1,Numa,m,1
1,Nuno,m,1
1,Obaida,m,1
1,Ole-Erik,m,1
1,Oleksandr,m,1
1,Olivier,m,1
1,Onno,m,1
1,Osgar,m,1
1,Oskar-Alfred,m,1
1,Ossayd,m,1
1,Othman,m,1
1,Ove,m,1
1,Pablo,m,1
1,Paco,m,1
1,Pal,m,1
1,Pascal,m,1
1,Pau,m,1
1,Paulo,m,1
1,Pavle,m,1
1,Pedro,m,1
1,Phineas,m,1
1,Phung,m,1
1,Pietro,m,1
1,Piotr,m,1
1,Piro,m,1
1,Quang,m,1
1,Qusay,m,1
1,Rabie,m,1
1,Ragnar,m,1
1,Rahmat,m,1
1,Raik,m,1
1,Rami,m,1
1,Raphaël,m,1
1,Raslan,m,1
1,Rasmus,m,1
1,Raul,m,1
1,Rawad,m,1
1,Rawan,m,1
1,Rayhan,m,1
1,Rayo,m,1
1,Rehan,m,1
1,Reign,m,1
1,Rejan,m,1
1,Reyyan,m,1
1,Rezwan,m,1
1,Rico,m,1
1,Rihaan,m,1
1,Rikki,m,1
1,Riste,m,1
1,Roman,m,1
1,Ron,m,1
1,Rubab,m,1
1,Rudi,m,1
1,Rudolf,m,1
1,Ruwaid,m,1
1,Saddam,m,1
1,Sam-Owen,m,1
1,Sam,m,1
1,Sammy,m,1
1,Sanji,m,1
1,Santiago,m,1
1,Sarvagya,m,1
1,Sayed,m,1
1,Sean,m,1
1,Sened,m,1
1,Seyed,m,1
1,Shadad,m,1
1,Shahzad,m,1
1,Shayan,m,1
1,Sidney,m,1
1,Silas,m,1
1,Simo,m,1
1,Siraj,m,1
1,Skandar,m,1
1,Sobhan,m,1
1,Soel,m,1
1,Solomon,m,1
1,Steffen-Nick,m,1
1,Sufjan,m,1
1,Sulayman,m,1
1,Suleiman,m,1
1,Taha,m,1
1,Talha,m,1
1,Tamazi,m,1
1,Tarje,m,1
1,Taron,m,1
1,Tauhid,m,1
1,Taym,m,1
1,Temur,m,1
1,Teoman,m,1
1,Teym,m,1
1,Thales,m,1
1,Thees,m,1
1,Thilo,m,1
1,Thomes,m,1
1,Thommy-Peter,m,1
1,Thorbjörn,m,1
1,Thorian,m,1
1,Tiago,m,1
1,Tidan,m,1
1,Tilas,m,1
1,Tillmann,m,1
1,Tilman,m,1
1,Timba,m,1
1,Timon,m,1
1,Timotheus,m,1
1,Tjelle,m,1
1,Toni,m,1
1,Tonio,m,1
1,Travis,m,1
1,Trương,m,1
1,Täve,m,1
1,Téo,m,1
1,Udayveer,m,1
1,Umar,m,1
1,Vadzid,m,1
1,Vaishav,m,1
1,Valentino,m,1
1,Valerio,m,1
1,Vato,m,1
1,Veaceslav,m,1
1,Victor,m,1
1,Viet,m,1
1,Vikus,m,1
1,Ville,m,1
1,Vin,m,1
1,Vinz,m,1
1,Vira,m,1
1,Vladimir,m,1
1,Vukan,m,1
1,Václav,m,1
1,Wael,m,1
1,Wanyu,m,1
1,Wasilij,m,1
1,Werner-Paul,m,1
1,Wilke,m,1
1,Wilko,m,1
1,William-Daniel,m,1
1,Wilson,m,1
1,Wlad,m,1
1,Xylas,m,1
1,Yahya,m,1
1,Yaman,m,1
1,Yamato,m,1
1,Yanik,m,1
1,Yannic,m,1
1,Yannick,m,1
1,Yano,m,1
1,Yared,m,1
1,Yari,m,1
1,Yaroslav,m,1
1,Yassin,m,1
1,Yazeed,m,1
1,Yeshua,m,1
1,Yonas,m,1
1,Yonathan,m,1
1,Yorin,m,1
1,Yoshua,m,1
1,Yosias,m,1
1,Youness,m,1
1,Younos,m,1
1,Youssof,m,1
1,Yousuf,m,1
1,Ypso,m,1
1,Yuhi,m,1
1,Yuka,m,1
1,Yun-U,m,1
1,Yuno,m,1
1,Yunus,m,1
1,Yusuf,m,1
1,Yzak,m,1
1,Zaciharias,m,1
1,Zagros,m,1
1,Zalán,m,1
1,Zayd,m,1
1,Zeid,m,1
1,Zein,m,1
1,Zeno,m,1
1,Zidane,m,1
1,Zéphir,m,1
1,Árpád,m,1
